instituicao_id;st_funcionamento_gn;instituicao_name;cnpj_mantenedora;razao_social
1151;10035;FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE SERGIPE;01303292000102;ASSOCIACAO DE ENSINO E PESQUISA GRACCHO CARDOSO S/C LTDA
21519;10035;Faculdade Meridional de Porto Alegre;04858393000120;COMPLEXO DE ENSINO SUPERIOR MERIDIONAL S.A.
19266;10034;Faculdade Pitagoras de Sete Lagoas;03239470000109;PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA
1735;10035;CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;02391959000120;INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA
2475;10035;FACULDADE DOM LUCIANO MENDES;22390686000107;FUNDACAO MARIANENSE DE EDUCACAO
845;10035;FACULDADE DA FUNDAÇÃO EDUCACIONAL ARAÇATUBA;44417764000152;FUNDACAO EDUCACIONAL ARACATUBA
1096;10035;FACULDADE DE PRESIDENTE EPITÁCIO - FAPE;19347410000131;UNIESP S.A
21364;10035;FACULDADE UNIFAEL PORTO ALEGRE;04986320000113;SER EDUCACIONAL S.A.
21693;10035;Faculdade Anhanguera Franca;38733648000140;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A
17670;10035;Faculdade de Quixeramobim;00115904000162;INSTITUTO EDUCACIONAL INTEGRADO LTDA - ME
13674;10034;FACULDADE DE TECNOLOGIA SENAI TELÊMACO BORBA;03776284000109;SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI
915;10035;FACULDADE DE ADMINISTRAÇÃO DE FÁTIMA DO SUL;33121674000101;ASSOCIACAO EDUCACIONAL NOVE DE JULHO
12803;10034;FACULDADE IBMEC DISTRITO FEDERAL;04298309000160;IBMEC EDUCACIONAL LTDA.
973;10034;FACULDADE DE LUCÉLIA;44919819000122;CENTRO DE ENSINO DA ALTA PAULISTA - CEALPA
268;10034;FACULDADE DE DIREITO DA ALTA PAULISTA;72557721000108;INSTITUICAO DOM BOSCO DE ENSINO E CULTURA LTDA
1100;10035;Centro Universitário Carlos Drummond de Andrade;67973677000187;ESCOLA DE EDUCACAO SUPERIOR SAO JORGE
13073;10035;FACULDADE DE TECNOLOGIA AEROTD;72443914000138;AERO TD ESCOLA DE AVIACAO CIVIL LTDA - ME
18673;10035;Faculdade Univeritas Universus Veritas de Goiânia;04986320000113;SER EDUCACIONAL S.A.
13897;10035;FACULDADE LABORO;02517198000100;LABORO - CENTRO DE CONSULTORIA QUALIFICAO E POS-GRADUACAO LTDA - EPP
3797;10035;CENTRO UNIVERSITÁRIO GUAIRACÁ;06060722000118;SESG - SOCIEDADE DE EDUCACAO SUPERIOR GUAIRACA LTDA
2687;10035;FACULDADE DOM ALBERTO;03220293000100;CENTRO DE ENSINO SUPERIOR DOM ALBERTO LTDA
19277;10035;FACULDADE CAMPOS BELOS;17120723000127;UNIAO EDUCACIONAL CAMPOS BELOS LTDA
19909;10035;Faculdade ICTQ/PGE;10564067000102;INSTITUTO DE CIENCIA TECNOLOGIA E QUALIDADE INDUSTRIAL LTDA - ME
18253;10035;FACULDADE VALE DO AÇO;12513048000182;FACULDADE VALE DO ACO LTDA
848;10034;FACULDADE PARAIBANA DE PROCESSAMENTO DE DADOS;11888849000160;ASPER ENSINO SUPERIOR DA PARAIBA LTDA.
20322;10035;Escola de Ensino Superior do Agreste Paraibano;14255311000106;CENTRO EDUCACIONAL TRES MARIAS EIRELI
594;10035;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;17220203000196;CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS
4889;10035;FACULDADE CONECTADA FACONNECT;08997513000120;EDUCACIONAL ABRANGE LTDA
